fov,dxM,dyM,dxPx,dyPx
U00--V01--X00--Y01,0.00009075,0.0000968,15,16
U06--V03--X00--Y01,0.0001028,-0.00006655,17,-11
U06--V03--X01--Y00,-0.0000726,0,-12,0
U06--V00--X00--Y01,-0.0000605,0.00003025,-10,5
U06--V00--X01--Y01,-0.00006655,-0.00003025,-11,-5
U11--V05--X00--Y01,-0.0000484,-0.0000726,-8,-12
U11--V05--X01--Y00,0.0001028,0.00007865,17,13
U01--V05--X00--Y00,-0.00003025,-0.00006655,-5,-11
U01--V05--X00--Y01,0.0000847,-0.0001089,14,-18
U06--V06--X00--Y00,0.0000605,0.0000484,10,8
U06--V06--X00--Y01,-0.0000605,-0.00007865,-10,-13
U03--V02--X00--Y00,-6.0500E-6,-0.00004235,-1,-7
U03--V02--X00--Y01,6.0500E-6,-0.0000121,1,-2
U03--V01--X00--Y00,0.0001089,0.00009075,18,15
U03--V01--X00--Y01,-0.00003025,0,-5,0
U11--V07--X00--Y00,-0.00003025,0.0000968,-5,16
U11--V07--X01--Y00,0.0000363,-0.00001815,6,-3
U00--V04--X00--Y00,-0.0000363,0.0000605,-6,10
U00--V04--X00--Y01,0.00005445,0.0000121,9,2
U02--V07--X01--Y00,-0.00009075,0.0000121,-15,2
U02--V07--X01--Y01,0.0000726,-0.0000363,12,-6
U03--V00--X00--Y00,-0.0000242,-0.0000121,-4,-2
U03--V00--X00--Y01,-0.0000847,-0.00001815,-14,-3
U03--V00--X01--Y00,-0.00009075,-0.00006655,-15,-11
U09--V04--X00--Y00,0.00004235,0.00004235,7,7
U09--V04--X00--Y01,0.0000968,-0.0001089,16,-18
U09--V04--X01--Y01,-0.00005445,0.0000363,-9,6
U08--V00--X01--Y00,-0.0001089,0.0001089,-18,18
U00--V02--X00--Y00,-0.0001028,0.0000605,-17,10
U00--V02--X00--Y01,0.00006655,-0.0000726,11,-12
U00--V06--X00--Y00,0.0000605,-0.0001089,10,-18
U00--V06--X00--Y01,0.00007865,-0.0000847,13,-14
U05--V03--X00--Y00,-0.0000726,-0.0000605,-12,-10
U05--V03--X00--Y01,0,-0.00004235,0,-7
U05--V04--X00--Y00,0.00004235,-0.00004235,7,-7
U05--V04--X00--Y01,0.00003025,0,5,0
U05--V04--X01--Y00,0.0001089,0.0000605,18,10
U07--V05--X00--Y00,0.0000484,-0.00001815,8,-3
U07--V05--X00--Y01,0.00007865,0.00004235,13,7
U10--V03--X00--Y00,0.0000968,-0.00001815,16,-3
U10--V03--X01--Y00,-0.0001089,-0.0000242,-18,-4
U01--V07--X00--Y01,0.0000605,0.0000847,10,14
U01--V07--X01--Y00,0.0000484,0.0000605,8,10
U02--V01--X00--Y00,-0.00007865,-0.0001089,-13,-18
U02--V01--X00--Y01,0.00009075,0.00009075,15,15
U02--V01--X01--Y00,-0.0001089,-0.00003025,-18,-5
U09--V00--X00--Y00,-0.00001815,0.0001089,-3,18
